0, 1, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0002.png', 0.23135268673682272
1, 2, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0002.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0003.png', 0.19213077793846547
2, 3, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0003.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0004.png', 0.13367661356522623
3, 4, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0004.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0005.png', 0.16857017067135097
4, 5, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0005.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0006.png', 0.1785850365018897
5, 6, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0006.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0007.png', 0.1375861844867837
6, 7, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0007.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0008.png', 0.1397694482093239
7, 8, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0008.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0009.png', 0.13753753922800788
8, 9, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0009.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0010.png', 0.12499268959477064
9, 10, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0010.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0011.png', 0.3778687132819276
10, 11, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0011.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0012.png', 0.2553190504289707
11, 12, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0012.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0013.png', 0.22610850774780783
12, 13, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0013.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0014.png', 0.1846804260830622
13, 14, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0014.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0015.png', 0.15940388967709507
14, 15, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0015.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0016.png', 0.1664778284984582
15, 16, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0016.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0017.png', 0.15372134868079776
16, 17, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0017.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0018.png', 0.14957742121646947
17, 18, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0018.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0019.png', 0.15320545689570475
18, 19, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0019.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0020.png', 0.14696763904351703
19, 20, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0020.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0021.png', 0.17056289580911418
20, 21, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0021.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0022.png', 0.1880926246729163
21, 22, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0022.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0023.png', 0.15156001434703403
22, 23, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0023.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0024.png', 0.1118316750474357
23, 24, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0024.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0025.png', 0.06210660571730793
24, 25, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0025.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0026.png', 0.026452149896125845
25, 26, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0026.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0027.png', 0.05418492108877962
26, 27, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0027.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0028.png', 0.19091840303410368
27, 28, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0028.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/mmaps/map0029.png', 0.3237600984706783
