0, 1, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00001.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00002.png', 6.205513510539324
1, 2, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00002.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00003.png', 6.27205971756854
2, 3, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00003.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00004.png', 5.568552648832947
3, 4, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00004.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00005.png', 5.517543801046588
4, 5, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00005.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00006.png', 5.967790019565944
5, 6, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00006.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00007.png', 4.692893371224757
6, 7, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00007.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00008.png', 5.794647306881925
7, 8, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00008.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00009.png', 4.692932189641934
8, 9, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00009.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00010.png', 5.369951765864409
9, 10, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00010.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00011.png', 4.604069316830135
10, 11, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00011.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00012.png', 4.448149123114789
11, 12, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00012.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00013.png', 4.5203710918098805
12, 13, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00013.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00014.png', 4.720608311978271
13, 14, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00014.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00015.png', 5.362798139359317
14, 15, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00015.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00016.png', 4.511613546775381
15, 16, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00016.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00017.png', 5.569212332732657
16, 17, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00017.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00018.png', 5.3618058451716015
17, 18, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00018.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00019.png', 4.7277078485308275
18, 19, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00019.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00020.png', 4.837223194757651
19, 20, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00020.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00021.png', 3.6011776929251593
20, 21, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00021.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00022.png', 4.74666280964255
21, 22, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00022.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00023.png', 3.827833782313909
22, 23, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00023.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00024.png', 4.946902971743367
23, 24, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00024.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00025.png', 4.144121019095513
24, 25, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00025.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00026.png', 4.434568221389602
25, 26, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00026.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00027.png', 4.961372214959458
26, 27, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00027.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00028.png', 4.922860656836914
27, 28, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00028.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00029.png', 4.3968216358392604
28, 29, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00029.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00030.png', 3.863809190433592
29, 30, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00030.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00031.png', 3.5445870298942976
30, 31, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00031.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00032.png', 4.115492479287158
31, 32, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00032.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00033.png', 3.7281268057501817
32, 33, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00033.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00034.png', 3.2937316407460333
33, 34, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00034.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00035.png', 3.3234391047587315
34, 35, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00035.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00036.png', 3.558768689268573
35, 36, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00036.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00037.png', 3.286852648140568
36, 37, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00037.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00038.png', 4.215598947156911
37, 38, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00038.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00039.png', 4.718660421620043
38, 39, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00039.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00040.png', 5.145900842056508
39, 40, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00040.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00041.png', 5.926355134751759
40, 41, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00041.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00042.png', 6.050394862545859
41, 42, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00042.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00043.png', 6.0137476183685825
42, 43, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00043.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00044.png', 5.682187382728768
43, 44, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00044.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00045.png', 4.048850350735318
44, 45, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00045.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00046.png', 4.939987569016179
45, 46, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00046.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00047.png', 5.654764592568621
46, 47, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00047.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00048.png', 4.497294494235939
47, 48, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00048.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00049.png', 5.036046042177855
48, 49, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00049.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00050.png', 6.098186159759298
49, 50, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00050.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00051.png', 5.624773282652651
50, 51, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00051.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00052.png', 6.094290837121621
51, 52, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00052.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00053.png', 5.600469523911672
