0, 1, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00001.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00002.png', 3.7848000910011748
1, 2, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00002.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00003.png', 4.408709001506455
2, 3, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00003.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00004.png', 4.069172872780314
3, 4, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00004.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00005.png', 3.808524282429241
4, 5, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00005.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00006.png', 4.608509882203085
5, 6, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00006.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00007.png', 4.024538207121873
6, 7, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00007.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00008.png', 3.88425188728416
7, 8, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00008.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00009.png', 4.086455614851412
8, 9, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00009.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00010.png', 5.329180957796481
9, 10, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00010.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00011.png', 4.481593118227782
10, 11, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00011.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00012.png', 5.010645048825339
11, 12, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00012.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00013.png', 4.880108652255628
12, 13, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00013.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00014.png', 4.780437928953594
13, 14, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00014.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00015.png', 4.437167295021795
14, 15, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00015.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00016.png', 4.421152703716419
15, 16, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00016.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00017.png', 3.979452269076761
16, 17, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00017.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00018.png', 4.171017710240402
17, 18, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00018.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00019.png', 3.851866018376592
18, 19, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00019.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00020.png', 3.8326483377485467
19, 20, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00020.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/2/flow_y_00021.png', 4.706677235415221
