0, 1, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0002.png', 0.3125848761886594
1, 2, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0003.png', 0.31443264988355835
2, 3, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0004.png', 0.327417654633896
3, 4, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0005.png', 0.34855776620091466
4, 5, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0006.png', 0.3361822141885145
5, 6, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0007.png', 0.2732319639804247
6, 7, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0008.png', 0.2756138363613968
7, 8, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0009.png', 0.2855940932511268
8, 9, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0010.png', 0.2505291821309295
9, 10, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0011.png', 0.4404633114697601
10, 11, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0012.png', 0.2885447535358086
11, 12, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0013.png', 0.23952207419367047
