0, 1, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00002.png', 5.776100492343104
1, 2, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00002.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00003.png', 4.9418356902955205
2, 3, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00003.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00004.png', 5.105632227144629
3, 4, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00004.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00005.png', 4.9596081709904825
4, 5, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00005.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00006.png', 5.38783552987894
5, 6, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00006.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00007.png', 5.065843441406866
6, 7, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00007.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00008.png', 4.788661463199317
7, 8, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00008.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00009.png', 4.400282219557257
8, 9, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00009.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00010.png', 5.458853718695219
9, 10, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00010.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00011.png', 4.446570012151151
10, 11, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00011.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00012.png', 4.710302151110552
11, 12, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00012.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00013.png', 4.795777143474025
12, 13, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00013.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00014.png', 4.546541814760373
13, 14, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00014.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00015.png', 3.845464411387783
14, 15, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00015.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00016.png', 4.194071994968476
15, 16, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00016.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00017.png', 4.1005001212533845
16, 17, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00017.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00018.png', 4.488672205773528
17, 18, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00018.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00019.png', 4.074017969850389
18, 19, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00019.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00020.png', 4.524921690882753
19, 20, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00020.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00021.png', 3.8601190809008643
20, 21, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00021.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00022.png', 3.7482676020017474
21, 22, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00022.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00023.png', 3.9707721550326633
22, 23, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00023.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00024.png', 4.012891136325894
23, 24, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00024.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00025.png', 4.466734006824598
24, 25, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00025.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00026.png', 3.84367823226328
25, 26, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00026.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00027.png', 3.976545975834669
26, 27, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00027.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00028.png', 4.5572940250679075
27, 28, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00028.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00029.png', 3.313073022624707
28, 29, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00029.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00030.png', 4.105226520203634
29, 30, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00030.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00031.png', 4.34744417067375
30, 31, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00031.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00032.png', 3.5498680063972547
31, 32, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00032.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00033.png', 3.2018965595229893
32, 33, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00033.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00034.png', 4.25127480597064
33, 34, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00034.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00035.png', 3.5744778768534333
34, 35, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00035.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00036.png', 4.718595158561983
35, 36, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00036.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00037.png', 4.75562289381064
36, 37, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00037.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00038.png', 4.3427397766635885
37, 38, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00038.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00039.png', 3.9698438975791146
38, 39, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00039.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00040.png', 4.113448908332483
39, 40, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00040.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00041.png', 4.830202375247216
40, 41, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00041.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00042.png', 3.888234631747482
41, 42, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00042.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00043.png', 4.145321270808694
42, 43, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00043.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00044.png', 3.62405763941515
43, 44, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00044.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00045.png', 3.8516148575669815
44, 45, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00045.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00046.png', 4.315500502905411
45, 46, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00046.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00047.png', 3.9529374346476094
46, 47, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00047.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00048.png', 3.981787641682476
47, 48, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00048.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00049.png', 4.2815483493890465
48, 49, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00049.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00050.png', 4.293797804617482
49, 50, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00050.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00051.png', 3.641534729229325
50, 51, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00051.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00052.png', 3.691959113333304
51, 52, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00052.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00053.png', 2.9552728616904873
52, 53, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00053.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00054.png', 3.4443793894286436
53, 54, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00054.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00055.png', 3.7902995973676967
54, 55, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00055.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00056.png', 4.451246934764037
