0, 1, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0002.png', 5.068813487153555
1, 2, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0003.png', 4.899294471737279
2, 3, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0004.png', 4.735794898662297
3, 4, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0005.png', 4.774751415225173
4, 5, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0006.png', 4.680402426666799
5, 6, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0007.png', 4.700645720485925
6, 7, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0008.png', 4.786363885812302
7, 8, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0009.png', 4.786771591784541
8, 9, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0010.png', 4.7825173578905
9, 10, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0011.png', 4.602003831095847
10, 11, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0012.png', 4.6903904414822835
11, 12, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0013.png', 4.736127937234677
12, 13, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0014.png', 4.551838481083103
13, 14, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0015.png', 4.3043781101481216
14, 15, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0016.png', 4.504790595477831
15, 16, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/rgb/rgb0017.png', 4.87705178306134
