0, 1, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0002.png', 6.334752294095612
1, 2, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0003.png', 6.234910011071685
2, 3, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0004.png', 6.092626249576496
3, 4, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0005.png', 5.795508072044941
4, 5, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0006.png', 5.196826515697233
5, 6, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0007.png', 4.527825121224855
6, 7, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0008.png', 4.513832746091818
7, 8, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0009.png', 4.565094446175014
8, 9, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0010.png', 5.059942441642549
9, 10, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0011.png', 5.267836180462884
10, 11, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0012.png', 5.232800535610601
11, 12, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0013.png', 5.2203142082393414
12, 13, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0014.png', 5.248084302709109
13, 14, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0015.png', 5.348171394395658
14, 15, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0016.png', 5.686130241606486
15, 16, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0017.png', 6.265338489473511
16, 17, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0018.png', 6.6576804138990076
17, 18, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0019.png', 6.80013545689367
18, 19, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0019.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0020.png', 6.632174973474141
19, 20, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0020.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/rgb/rgb0021.png', 6.356664020518421
