0, 1, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0002.png', 5.732402431412382
1, 2, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0003.png', 5.808561943807294
2, 3, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0004.png', 5.750440774210448
3, 4, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0005.png', 5.5625182972898415
4, 5, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0006.png', 5.69491148253753
5, 6, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0007.png', 5.823678410128361
6, 7, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0008.png', 5.727074089418708
7, 8, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0009.png', 5.535301589810599
8, 9, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0010.png', 5.65706363971497
9, 10, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0011.png', 5.673067965236514
10, 11, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0012.png', 5.496840404158564
11, 12, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0013.png', 5.463536248158546
12, 13, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0014.png', 5.331762276830373
13, 14, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0015.png', 5.258614000549967
14, 15, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0016.png', 5.5266440277037105
15, 16, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0017.png', 5.508832463794114
16, 17, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0018.png', 5.196850264511328
17, 18, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0019.png', 5.332171731224213
18, 19, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0020.png', 5.3516761354600515
19, 20, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0021.png', 5.132370779311955
20, 21, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0022.png', 5.138198984347772
21, 22, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0023.png', 4.51338423618803
22, 23, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0024.png', 4.723479133582819
23, 24, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0025.png', 4.556329833165588
24, 25, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0026.png', 4.871184322193282
25, 26, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0027.png', 4.668552531303374
26, 27, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0028.png', 4.755381127747922
27, 28, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0029.png', 4.938152327280914
28, 29, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/1/rgb/rgb0030.png', 4.867734887808104
