0, 1, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0002.png', 6.240078629057304
1, 2, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0003.png', 6.065231680183062
2, 3, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0004.png', 6.143973622066822
3, 4, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0005.png', 6.035156329957526
4, 5, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0006.png', 5.665591990483715
5, 6, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0007.png', 4.999743695304905
6, 7, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0008.png', 5.230870044843406
7, 8, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0009.png', 5.0908396967139495
8, 9, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0010.png', 5.137826770653163
9, 10, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0011.png', 5.00399238468138
10, 11, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0012.png', 5.168818172983829
11, 12, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0013.png', 5.098626644308798
12, 13, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0014.png', 4.787385597028708
13, 14, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0015.png', 4.969428662944433
14, 15, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0016.png', 5.415376307809001
