0, 1, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0002.png', 5.467682383721367
1, 2, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0003.png', 5.559199522629147
2, 3, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0004.png', 5.7151737807144904
3, 4, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0005.png', 5.556773138441569
4, 5, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0006.png', 5.6633692208891
5, 6, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0007.png', 5.675625776489826
6, 7, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0008.png', 5.510956127966594
7, 8, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0009.png', 5.4149523244316295
8, 9, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0010.png', 5.213173817651983
9, 10, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0011.png', 4.778942807964625
10, 11, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0012.png', 4.858311534975715
11, 12, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0013.png', 5.140610836013892
12, 13, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0014.png', 4.929190004286879
13, 14, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0015.png', 4.834442150901277
14, 15, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0016.png', 4.5087584773571106
15, 16, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0017.png', 4.339637054750045
16, 17, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0018.png', 4.106540334449297
17, 18, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0019.png', 4.700698342484314
18, 19, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0020.png', 4.881822499227309
19, 20, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0021.png', 4.917889679923648
20, 21, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0022.png', 5.037219790379597
21, 22, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0023.png', 5.411455392782128
22, 23, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0024.png', 6.2922424731682876
23, 24, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0025.png', 6.429056982844551
24, 25, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0026.png', 6.218640534445622
25, 26, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0027.png', 5.9200070133358755
26, 27, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0028.png', 5.348592161277937
27, 28, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0029.png', 5.757728621232063
28, 29, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0030.png', 6.020253785722378
29, 30, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0031.png', 5.722506119116807
30, 31, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0032.png', 5.343193682790012
31, 32, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0033.png', 4.959900784530789
32, 33, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0034.png', 4.9751587459678674
33, 34, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0035.png', 5.1338643849309324
34, 35, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0036.png', 5.622748792892542
35, 36, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/1/rgb/rgb0037.png', 5.772768852522868
