0, 1, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00001.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00002.png', 4.762257342491773
1, 2, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00002.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00003.png', 5.337399824857565
2, 3, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00003.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00004.png', 3.859136012109124
3, 4, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00004.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00005.png', 4.320340008896456
4, 5, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00005.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00006.png', 4.798040429701255
5, 6, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00006.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00007.png', 3.7567358067243646
6, 7, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00007.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00008.png', 5.062915895669935
7, 8, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00008.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00009.png', 4.345309745985226
8, 9, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00009.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00010.png', 3.7149186167724477
9, 10, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00010.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00011.png', 3.8427140156814814
10, 11, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00011.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00012.png', 5.309364612448627
11, 12, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00012.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00013.png', 4.271278342659898
12, 13, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00013.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00014.png', 3.729182286198472
13, 14, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00014.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00015.png', 3.845416700299783
14, 15, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00015.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00016.png', 3.6570261376024567
15, 16, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00016.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00017.png', 4.453503151507198
16, 17, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00017.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00018.png', 3.6355019065397682
17, 18, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00018.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/2/flow_y_00019.png', 3.5438268280576737
