0, 1, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00001.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00002.png', 5.107008291837904
1, 2, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00002.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00003.png', 5.14746065985004
2, 3, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00003.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00004.png', 4.9490146812727485
3, 4, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00004.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00005.png', 4.99981299088008
4, 5, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00005.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00006.png', 4.458466993665306
5, 6, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00006.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00007.png', 5.293169765793308
6, 7, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00007.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00008.png', 4.791494764790712
7, 8, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00008.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00009.png', 4.019993631628256
8, 9, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00009.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00010.png', 4.588108400927045
9, 10, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00010.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00011.png', 4.386762764711721
10, 11, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00011.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00012.png', 4.839969693551867
11, 12, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00012.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00013.png', 3.91539260782803
12, 13, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00013.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00014.png', 4.568725399611518
13, 14, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00014.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00015.png', 4.107959194247257
14, 15, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00015.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00016.png', 4.239436534979058
15, 16, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00016.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00017.png', 4.198074423885889
16, 17, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00017.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00018.png', 4.129004907053411
17, 18, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00018.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00019.png', 4.536726045127103
18, 19, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00019.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00020.png', 3.9197355700859897
19, 20, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00020.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00021.png', 5.0481682065199625
20, 21, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00021.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00022.png', 4.253150291728613
21, 22, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00022.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00023.png', 4.343435211536417
22, 23, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00023.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00024.png', 4.033579461170121
23, 24, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00024.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00025.png', 4.1519085138716445
24, 25, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00025.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00026.png', 4.5487167411571106
25, 26, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00026.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/2/flow_y_00027.png', 4.729891621219962
