0, 1, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0002.png', 0.25404825760836736
1, 2, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0003.png', 0.24035218339004058
2, 3, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0004.png', 0.26546085585120377
3, 4, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0005.png', 0.25953474530821086
4, 5, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0006.png', 0.28141629450721295
5, 6, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0007.png', 0.25316087523589104
6, 7, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0008.png', 0.24831375486227136
7, 8, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0009.png', 0.3227993782465462
8, 9, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0010.png', 0.3095044372967708
9, 10, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0011.png', 0.40836833119444454
10, 11, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0012.png', 0.31634425224544693
11, 12, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/1/mmaps/map0013.png', 0.29126387041323065
