0, 1, './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00002.png', 6.1376595045485365
1, 2, './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00003.png', 5.712126901975523
2, 3, './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00004.png', 6.292882304816541
3, 4, './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00005.png', 5.630640880728732
4, 5, './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00006.png', 5.474391362497633
5, 6, './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00007.png', 5.899803798619754
6, 7, './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00008.png', 4.95128093177285
7, 8, './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00009.png', 5.467610684799685
8, 9, './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00010.png', 5.402282581370146
9, 10, './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00011.png', 5.068765956549376
10, 11, './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00012.png', 5.372288997671073
11, 12, './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00013.png', 5.3991595618445345
12, 13, './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00014.png', 5.034301768188912
13, 14, './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S3/pour_mayonnaise,cheese,bread/1/flow_y_00015.png', 4.522270799043291
