0, 1, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0002.png', 0.5238176220786503
1, 2, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0002.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0003.png', 0.4511644414463055
2, 3, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0003.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0004.png', 0.3593341893992194
3, 4, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0004.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0005.png', 0.3121657333378207
4, 5, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0005.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0006.png', 0.31769613680544606
5, 6, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0006.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0007.png', 0.2655364383103216
6, 7, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0007.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0008.png', 0.2549727511734782
7, 8, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0008.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0009.png', 0.31728049061559827
8, 9, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0009.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0010.png', 0.2995976165479851
9, 10, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0010.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0011.png', 0.6204579791226758
10, 11, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0011.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0012.png', 0.4961548727900372
11, 12, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0012.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0013.png', 0.4035269214315297
12, 13, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0013.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0014.png', 0.3509248831043439
13, 14, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0014.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0015.png', 0.27524230627013435
14, 15, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0015.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0016.png', 0.2723736058951336
15, 16, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0016.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0017.png', 0.3205633208111985
16, 17, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0017.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0018.png', 0.3329818316416706
17, 18, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0018.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0019.png', 0.3555020912628122
18, 19, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0019.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/1/mmaps/map0020.png', 0.3848403092531069
