0, 1, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00002.png', 4.434182095111585
1, 2, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00003.png', 5.06872404997588
2, 3, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00004.png', 5.741533401891239
3, 4, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00005.png', 5.727896848258992
4, 5, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00006.png', 5.861730835044877
5, 6, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00007.png', 5.609095585063895
6, 7, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00008.png', 5.961361461868391
7, 8, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00009.png', 5.849560225706506
8, 9, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00010.png', 5.891418148065426
9, 10, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00011.png', 6.593274896161559
10, 11, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00012.png', 5.4232001060278785
11, 12, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00013.png', 5.457034278588079
12, 13, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00014.png', 4.784576148844454
13, 14, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00015.png', 5.804416892587155
14, 15, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00016.png', 6.381193356347549
15, 16, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00017.png', 6.403951271635059
16, 17, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00018.png', 6.0964426744610405
17, 18, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00019.png', 4.958429167265386
18, 19, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00020.png', 5.859974781937594
19, 20, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00021.png', 5.017511848598679
20, 21, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00022.png', 6.531980374546988
21, 22, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00023.png', 5.356146054754593
22, 23, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00024.png', 6.086233850476485
23, 24, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00025.png', 6.361626076683571
24, 25, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00026.png', 6.604510024251088
25, 26, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00027.png', 5.885563875136793
26, 27, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00028.png', 5.902843276246125
27, 28, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00029.png', 5.236297095462847
28, 29, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00030.png', 6.009346907377707
29, 30, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00031.png', 6.127986835413236
30, 31, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00032.png', 6.282223599919741
31, 32, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00033.png', 6.142917502398451
32, 33, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00033.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00034.png', 5.19621272918723
33, 34, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00034.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00035.png', 6.610344611236126
34, 35, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00035.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00036.png', 7.057436104783947
35, 36, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00036.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00037.png', 6.340242318340722
36, 37, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00037.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00038.png', 6.458641305204227
37, 38, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00038.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00039.png', 6.394517272949599
38, 39, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00039.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00040.png', 5.13591263838028
39, 40, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00040.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00041.png', 5.498833894784629
40, 41, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00041.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00042.png', 7.1201351131716315
41, 42, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00042.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00043.png', 6.286219087523933
42, 43, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00043.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00044.png', 6.474178503906254
43, 44, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00044.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00045.png', 5.380578053535364
44, 45, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00045.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00046.png', 6.442328097326299
45, 46, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00046.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00047.png', 5.528394015582052
46, 47, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00047.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00048.png', 6.006222296614675
47, 48, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00048.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00049.png', 5.778860870528644
48, 49, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00049.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00050.png', 6.644532560207441
49, 50, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00050.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00051.png', 5.819925638299987
50, 51, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00051.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00052.png', 4.672927998927375
51, 52, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00052.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00053.png', 5.748029701950808
52, 53, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00053.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00054.png', 6.125400726171151
53, 54, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00054.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00055.png', 5.6684897133119
54, 55, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00055.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00056.png', 6.164024029973585
55, 56, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00056.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00057.png', 6.180318404971396
56, 57, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00057.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00058.png', 5.423576261875639
57, 58, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00058.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00059.png', 6.030112151627713
58, 59, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00059.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00060.png', 6.082048655000885
59, 60, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00060.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00061.png', 7.303655942550125
60, 61, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00061.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00062.png', 5.974927698420221
61, 62, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00062.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00063.png', 6.427308447515781
62, 63, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00063.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00064.png', 6.0550134572518415
63, 64, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00064.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00065.png', 5.9334168724154095
64, 65, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00065.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00066.png', 6.34929315202535
65, 66, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00066.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00067.png', 5.453275502097682
66, 67, './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00067.png', './GTEA61/flow_y_processed/S3/spread_jam,spoon,bread/1/flow_y_00068.png', 5.744962128123045
