0, 1, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0002.png', 5.552951540750255
1, 2, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0003.png', 5.5935434211763075
2, 3, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0004.png', 5.530053236241205
3, 4, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0005.png', 5.224943044957159
4, 5, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0006.png', 4.930134198310377
5, 6, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0007.png', 4.8032880187344915
6, 7, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0008.png', 4.767075759686409
7, 8, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0009.png', 5.016316505351506
8, 9, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0010.png', 4.797612047694576
9, 10, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0011.png', 4.273424045249695
10, 11, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0012.png', 4.500758470619062
11, 12, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0013.png', 4.80059660036074
12, 13, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0014.png', 4.932453292554312
13, 14, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0015.png', 4.873154537741559
14, 15, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0016.png', 5.226416042740789
15, 16, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0017.png', 5.184963366495147
16, 17, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0018.png', 4.824569390394131
17, 18, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0019.png', 4.828748885360564
18, 19, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0020.png', 4.8189063182405025
19, 20, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0020.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0021.png', 4.960878248783687
20, 21, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0021.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/rgb/rgb0022.png', 5.409921832055581
