0, 1, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0002.png', 5.5524885420278975
1, 2, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0003.png', 5.734514781432448
2, 3, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0004.png', 5.375549558156917
3, 4, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0005.png', 5.01640565339578
4, 5, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0006.png', 5.535826932244979
5, 6, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0007.png', 5.5931673047145924
6, 7, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0008.png', 5.471076099503781
7, 8, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0009.png', 5.311751925540214
8, 9, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0010.png', 4.660730930769603
9, 10, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0011.png', 4.788954494903871
10, 11, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0012.png', 4.8671742669288065
11, 12, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0013.png', 4.756080808007884
12, 13, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0014.png', 5.028290273280326
13, 14, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0015.png', 4.579117974409078
14, 15, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0016.png', 4.699135225932793
15, 16, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0017.png', 5.388153468452445
16, 17, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0018.png', 5.530094493588234
17, 18, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0019.png', 5.41295688745953
18, 19, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0020.png', 5.236222873313205
19, 20, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0021.png', 5.48982134565813
20, 21, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0022.png', 5.333823225987011
21, 22, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0023.png', 5.429706816954461
22, 23, './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/rgb/rgb0024.png', 5.19908914188919
