0, 1, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0002.png', 4.979799751451697
1, 2, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0003.png', 4.322991126545003
2, 3, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0004.png', 4.695738537243148
3, 4, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0005.png', 4.753309807981152
4, 5, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0006.png', 5.156057225712507
5, 6, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0007.png', 5.51352475175712
6, 7, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0008.png', 5.5630268057336085
7, 8, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0009.png', 5.39522341974805
8, 9, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0010.png', 5.440337631225412
9, 10, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0011.png', 5.4049299017776375
10, 11, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0012.png', 5.466783670455933
11, 12, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0013.png', 5.761373203289318
12, 13, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0014.png', 5.810153655449083
13, 14, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0015.png', 5.692373236885123
14, 15, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0016.png', 5.918133553622702
15, 16, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0017.png', 6.014578457589726
16, 17, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0018.png', 5.918745096617439
17, 18, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0019.png', 5.755128158933645
18, 19, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0020.png', 5.4937735515737804
19, 20, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0021.png', 5.274123171956566
20, 21, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0022.png', 5.198590241560289
21, 22, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0023.png', 5.197651175815563
22, 23, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0024.png', 5.3032959781257665
23, 24, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0025.png', 5.426650766911952
24, 25, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0026.png', 5.291942280736636
25, 26, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/rgb/rgb0027.png', 5.251065455657209
