0, 1, './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00002.png', 5.128692057676462
1, 2, './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00003.png', 6.099841436035779
2, 3, './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00004.png', 5.636106225568648
3, 4, './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00005.png', 5.8917571406975675
4, 5, './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00006.png', 4.967533893393396
5, 6, './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00007.png', 5.851180479840469
6, 7, './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00008.png', 5.510871742071094
7, 8, './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00009.png', 3.6641100793826014
8, 9, './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00010.png', 3.7353288220102723
9, 10, './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00011.png', 4.339721003157839
10, 11, './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00012.png', 4.754829779482874
11, 12, './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00013.png', 3.3660097917243377
12, 13, './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00014.png', 3.8328750558971154
13, 14, './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00015.png', 3.6362945093119046
14, 15, './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00016.png', 4.744801411219954
15, 16, './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00017.png', 5.245918646874353
16, 17, './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00018.png', 5.100344566556271
17, 18, './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S3/pour_ketchup,hotdog,bread/1/flow_y_00019.png', 4.894754121249525
