0, 1, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00002.png', 6.668427050410382
1, 2, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00002.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00003.png', 5.923512109708434
2, 3, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00003.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00004.png', 5.3518391138604695
3, 4, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00004.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00005.png', 5.273809542030886
4, 5, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00005.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00006.png', 5.850646160909636
5, 6, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00006.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00007.png', 5.03941690468481
6, 7, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00007.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00008.png', 4.944519652864217
7, 8, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00008.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00009.png', 5.444717844952474
8, 9, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00009.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00010.png', 5.213333970428951
9, 10, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00010.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00011.png', 4.783096661897836
10, 11, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00011.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00012.png', 5.008838570616498
11, 12, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00012.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00013.png', 5.216923948806609
12, 13, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00013.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00014.png', 5.454310906533144
13, 14, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00014.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00015.png', 4.957762262861688
14, 15, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00015.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00016.png', 3.9131171398165763
15, 16, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00016.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00017.png', 4.533250206471927
16, 17, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00017.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00018.png', 4.630625811756108
17, 18, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00018.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00019.png', 5.402412297261545
18, 19, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00019.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/1/flow_x_00020.png', 5.569328062321423
