0, 1, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0002.png', 5.336016157407591
1, 2, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0003.png', 5.579826974391288
2, 3, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0004.png', 5.6879720740005455
3, 4, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0005.png', 5.814784049948301
4, 5, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0006.png', 5.6535557940498125
5, 6, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0007.png', 5.600179226631912
6, 7, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0008.png', 5.063890672928289
7, 8, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0009.png', 5.458131691345825
8, 9, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0010.png', 5.405328043661982
9, 10, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0011.png', 5.450272802536042
10, 11, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0012.png', 5.584629307526987
11, 12, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0013.png', 5.144310077126173
12, 13, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0014.png', 5.141857347904125
13, 14, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0015.png', 5.497520681837082
14, 15, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0016.png', 5.572375303821643
15, 16, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0017.png', 5.261849385669152
16, 17, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0018.png', 4.539015553268555
17, 18, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0019.png', 4.791283649094406
18, 19, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0020.png', 4.60047555143809
19, 20, './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S3/pour_mustard,cheese,bread/1/rgb/rgb0021.png', 4.701402100526574
