0, 1, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0002.png', 5.342024308391421
1, 2, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0003.png', 4.992152547789258
2, 3, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0004.png', 4.947341666451808
3, 4, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0005.png', 5.019069518198204
4, 5, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0006.png', 5.087238304410305
5, 6, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0007.png', 5.284076742221579
6, 7, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0008.png', 5.389726450061512
7, 8, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0009.png', 5.419377223182339
8, 9, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0010.png', 5.265840319379002
9, 10, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0011.png', 5.207042206743261
10, 11, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0012.png', 5.2995879118891835
11, 12, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0013.png', 5.794590620267113
12, 13, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0014.png', 6.100417680104525
13, 14, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0015.png', 6.206828132259648
14, 15, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0016.png', 6.00718858005903
15, 16, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0017.png', 5.316486710686997
16, 17, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0018.png', 4.92027588614372
17, 18, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0019.png', 5.016414125856562
18, 19, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0020.png', 4.75768754542288
19, 20, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0021.png', 4.581013356756285
20, 21, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0022.png', 4.642401581097247
21, 22, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0023.png', 4.677120936506165
22, 23, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0024.png', 4.269677704291112
23, 24, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0025.png', 4.340253068886354
24, 25, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0026.png', 4.1087149917291965
25, 26, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0027.png', 3.9717004632906474
26, 27, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0028.png', 4.592085767833509
27, 28, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0029.png', 4.58475902042811
28, 29, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0030.png', 4.700898125855831
29, 30, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0031.png', 4.747131212963527
30, 31, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0032.png', 4.463458036792236
31, 32, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0033.png', 4.366426797103539
32, 33, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0034.png', 4.204529348664996
33, 34, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0035.png', 4.432585208600342
34, 35, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0036.png', 4.214099399426485
35, 36, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0037.png', 4.381985210509376
36, 37, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0038.png', 4.5083079227466865
37, 38, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0039.png', 4.5546225350601555
38, 39, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0040.png', 4.441124472511695
39, 40, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0041.png', 4.232446192983885
40, 41, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0042.png', 4.138539700349782
41, 42, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0043.png', 4.195222835372312
42, 43, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0044.png', 4.199636843037935
43, 44, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0045.png', 3.9141963650319522
44, 45, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0045.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0046.png', 3.968314492140849
45, 46, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0046.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0047.png', 4.356432303692351
46, 47, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0047.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0048.png', 4.100230687701966
47, 48, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0048.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0049.png', 4.348249447759636
48, 49, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0049.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0050.png', 4.321727291620567
49, 50, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0050.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0051.png', 4.091637838570076
50, 51, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0051.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0052.png', 4.085222422337712
51, 52, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0052.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0053.png', 4.4800119300447925
52, 53, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0053.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0054.png', 4.097945046427115
53, 54, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0054.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0055.png', 4.156547430664271
54, 55, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0055.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0056.png', 4.220818023381943
