0, 1, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00002.png', 5.232944734690836
1, 2, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00002.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00003.png', 5.7611161016437835
2, 3, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00003.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00004.png', 4.482318094577453
3, 4, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00004.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00005.png', 4.876587103220476
4, 5, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00005.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00006.png', 5.368769748825062
5, 6, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00006.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00007.png', 4.746096553760464
6, 7, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00007.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00008.png', 4.510090469176026
7, 8, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00008.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00009.png', 4.554688229961651
8, 9, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00009.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00010.png', 4.548135683355407
9, 10, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00010.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00011.png', 4.521569722493037
10, 11, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00011.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00012.png', 3.825824392628175
11, 12, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00012.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00013.png', 4.254783265538501
12, 13, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00013.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00014.png', 4.4465709038730985
13, 14, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00014.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00015.png', 4.8930984408114915
14, 15, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00015.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00016.png', 4.275317938608378
15, 16, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00016.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00017.png', 3.945363653255728
16, 17, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00017.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00018.png', 4.45611632829807
17, 18, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00018.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00019.png', 4.806029161315763
18, 19, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00019.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00020.png', 5.015177259516578
19, 20, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00020.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00021.png', 4.83510512653906
20, 21, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00021.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00022.png', 5.324914636199588
21, 22, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00022.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00023.png', 5.416387551688007
22, 23, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00023.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00024.png', 5.581171541609183
23, 24, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00024.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00025.png', 4.921319884112265
24, 25, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00025.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00026.png', 5.228140357426073
25, 26, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00026.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00027.png', 5.526829119976
26, 27, './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00027.png', './GTEA61/flow_x_processed/S2/scoop_peanut,spoon/1/flow_x_00028.png', 4.903408337829501
