0, 1, './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/2/flow_x_00001.png', './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/2/flow_x_00002.png', 5.45529427167935
1, 2, './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/2/flow_x_00002.png', './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/2/flow_x_00003.png', 4.461816439101482
2, 3, './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/2/flow_x_00003.png', './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/2/flow_x_00004.png', 5.002499919287065
3, 4, './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/2/flow_x_00004.png', './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/2/flow_x_00005.png', 4.9518752415390255
4, 5, './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/2/flow_x_00005.png', './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/2/flow_x_00006.png', 5.5847868362604896
5, 6, './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/2/flow_x_00006.png', './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/2/flow_x_00007.png', 5.485616078141562
6, 7, './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/2/flow_x_00007.png', './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/2/flow_x_00008.png', 4.95604540062929
7, 8, './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/2/flow_x_00008.png', './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/2/flow_x_00009.png', 5.025210208124664
8, 9, './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/2/flow_x_00009.png', './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/2/flow_x_00010.png', 5.209163469883677
9, 10, './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/2/flow_x_00010.png', './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/2/flow_x_00011.png', 4.593060056322485
10, 11, './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/2/flow_x_00011.png', './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/2/flow_x_00012.png', 4.3327445369439666
