0, 1, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00002.png', 5.263266331420637
1, 2, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00003.png', 5.5969376930884644
2, 3, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00004.png', 5.985520718071644
3, 4, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00005.png', 4.8595429654104
4, 5, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00006.png', 5.844314711692572
5, 6, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00007.png', 5.045632985530535
6, 7, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00008.png', 5.3715556106971185
7, 8, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00009.png', 3.9243994898663495
8, 9, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00010.png', 3.9913129240014205
9, 10, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00011.png', 4.140089886817496
10, 11, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00012.png', 4.422535303467781
11, 12, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00013.png', 3.973583144244473
12, 13, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00014.png', 4.486345409235045
