0, 1, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0002.png', 5.122194361436569
1, 2, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0003.png', 4.742396761709871
2, 3, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0004.png', 4.730509400830467
3, 4, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0005.png', 4.736944726330475
4, 5, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0006.png', 5.215372407950143
5, 6, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0007.png', 5.332117487181744
6, 7, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0008.png', 5.108988099168336
7, 8, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0009.png', 4.580645137291173
8, 9, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0010.png', 4.471385878009917
9, 10, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0011.png', 4.416165210808044
10, 11, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0012.png', 4.815079784376458
11, 12, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0013.png', 5.068570510490078
12, 13, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0014.png', 5.018763505393363
13, 14, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0015.png', 4.938473325289213
14, 15, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0016.png', 5.317976150305782
15, 16, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0017.png', 5.5363799009529036
16, 17, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0018.png', 5.8653077486847955
17, 18, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0019.png', 6.240745294363153
18, 19, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0019.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0020.png', 6.306402441953899
19, 20, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0020.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0021.png', 6.1393534859991545
20, 21, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0021.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/4/rgb/rgb0022.png', 6.1604626962858315
