0, 1, './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0001.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0002.png', 0.3020185277308126
1, 2, './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0002.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0003.png', 0.309364045901374
2, 3, './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0003.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0004.png', 0.33876413040644743
3, 4, './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0004.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0005.png', 0.28299559535458446
4, 5, './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0005.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0006.png', 0.25823502106425583
5, 6, './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0006.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0007.png', 0.1838896492763501
6, 7, './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0007.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0008.png', 0.19104844009111369
7, 8, './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0008.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0009.png', 0.23571142660545852
8, 9, './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0009.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0010.png', 0.1972512113697805
9, 10, './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0010.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0011.png', 0.5921607997497387
10, 11, './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0011.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0012.png', 0.43148699858127654
11, 12, './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0012.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0013.png', 0.40047076778838
12, 13, './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0013.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0014.png', 0.3701830794342593
13, 14, './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0014.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0015.png', 0.38951767133052656
14, 15, './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0015.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0016.png', 0.32159636011746806
15, 16, './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0016.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0017.png', 0.2545877276158264
16, 17, './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0017.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0018.png', 0.22865620415464782
17, 18, './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0018.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0019.png', 0.2317138925124637
18, 19, './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0019.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/mmaps/map0020.png', 0.23022741261574198
