0, 1, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00002.png', 5.261831235325291
1, 2, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00003.png', 5.684949428896992
2, 3, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00004.png', 4.482682203330226
3, 4, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00005.png', 3.960386943651454
4, 5, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00006.png', 4.565301953268799
5, 6, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00007.png', 3.803189001688705
6, 7, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00008.png', 4.5469547397142
7, 8, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00009.png', 4.24441603870623
8, 9, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00010.png', 3.9919383514181654
9, 10, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00011.png', 3.821022845614586
10, 11, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00012.png', 3.741337681987835
11, 12, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00013.png', 4.367388008761914
12, 13, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00014.png', 3.6643808595610334
