0, 1, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00002.png', 5.070359383710174
1, 2, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00003.png', 4.592260290993781
2, 3, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00004.png', 5.532823871042126
3, 4, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00005.png', 5.3118322544881815
4, 5, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00006.png', 5.167825424967162
5, 6, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00007.png', 6.733243050952013
6, 7, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00008.png', 8.017728822582237
7, 8, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00009.png', 7.675383416072663
8, 9, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00010.png', 6.169709512523452
9, 10, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00011.png', 6.875264489021773
10, 11, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00012.png', 6.643718182897162
11, 12, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00013.png', 7.291140249526179
12, 13, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00014.png', 5.621999385608278
13, 14, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00015.png', 6.78085796137638
14, 15, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00016.png', 6.587911149870793
15, 16, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00017.png', 5.736623621789524
16, 17, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00018.png', 6.52549418867313
17, 18, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00019.png', 6.890005217573182
18, 19, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00020.png', 7.197792085571382
19, 20, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00021.png', 5.469449783123381
20, 21, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00022.png', 6.023952290445325
21, 22, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00023.png', 4.882114844158204
22, 23, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00024.png', 5.172084069600766
23, 24, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00025.png', 5.199898412187285
24, 25, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00026.png', 4.825578762503472
25, 26, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00027.png', 4.738020954805611
26, 27, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00028.png', 4.077898972353985
27, 28, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00029.png', 4.5372441994197
28, 29, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00030.png', 4.743675714524838
29, 30, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00031.png', 4.588998836476132
30, 31, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00032.png', 4.588908721317521
31, 32, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00033.png', 4.471452059254936
32, 33, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00033.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00034.png', 3.9392445396790725
33, 34, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00034.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00035.png', 3.732142268079974
34, 35, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00035.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00036.png', 4.985919595695686
35, 36, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00036.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00037.png', 4.1517791555615915
36, 37, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00037.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00038.png', 4.7751919819433235
37, 38, './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00038.png', './GTEA61/flow_y_processed/S1/pour_mustard,hotdog,bread/1/flow_y_00039.png', 5.029866569739893
