0, 1, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00002.png', 6.507222156336107
1, 2, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00003.png', 6.748467079759137
2, 3, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00004.png', 6.231129990440317
3, 4, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00005.png', 6.004270720074323
4, 5, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00006.png', 5.360238554018106
5, 6, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00007.png', 5.497516363433756
6, 7, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00008.png', 5.751900325207669
7, 8, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00009.png', 4.592235805291725
8, 9, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00010.png', 4.143720935165437
9, 10, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00011.png', 5.36237672694615
10, 11, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00012.png', 5.82238490101412
11, 12, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00013.png', 5.139198281223061
12, 13, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00014.png', 4.17205966939965
13, 14, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00015.png', 4.528446724557834
14, 15, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00016.png', 4.85880422105444
15, 16, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00017.png', 3.9141501511132866
16, 17, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00018.png', 5.50269113515887
17, 18, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00019.png', 4.960269389748725
18, 19, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00020.png', 5.056410843409591
19, 20, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00021.png', 5.507131233851789
20, 21, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00022.png', 5.583565317532982
21, 22, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00023.png', 3.872627391096857
22, 23, './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S3/put_bread,cheese,bread/1/flow_y_00024.png', 5.153821255890321
