0, 1, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00001.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00002.png', 7.277606578594468
1, 2, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00002.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00003.png', 5.458236869229493
2, 3, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00003.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00004.png', 6.4541674951970585
3, 4, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00004.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00005.png', 5.246881492017539
4, 5, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00005.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00006.png', 5.251411473967016
5, 6, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00006.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00007.png', 5.531522887312055
6, 7, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00007.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00008.png', 4.792636734871788
7, 8, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00008.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00009.png', 4.034243482575519
8, 9, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00009.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00010.png', 4.463852328170114
9, 10, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00010.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00011.png', 4.834504387470844
10, 11, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00011.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00012.png', 4.4908431835750315
11, 12, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00012.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00013.png', 5.578711620091315
12, 13, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00013.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00014.png', 5.474958777587835
13, 14, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00014.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00015.png', 4.94279320297536
14, 15, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00015.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00016.png', 4.940959548452296
15, 16, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00016.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00017.png', 4.959429034495112
16, 17, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00017.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00018.png', 4.484518638310926
17, 18, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00018.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00019.png', 4.495507170654665
18, 19, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00019.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00020.png', 4.6606280556381945
19, 20, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00020.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00021.png', 4.288007777757655
20, 21, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00021.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00022.png', 4.159171672887576
21, 22, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00022.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00023.png', 4.818094893959105
22, 23, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00023.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00024.png', 4.681380066730213
23, 24, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00024.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00025.png', 5.238235826622727
24, 25, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00025.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00026.png', 4.564936991956122
25, 26, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00026.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00027.png', 5.240101918212163
26, 27, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00027.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00028.png', 4.2029067462999325
27, 28, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00028.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00029.png', 4.822516004518615
28, 29, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00029.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00030.png', 4.4123601760577
29, 30, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00030.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00031.png', 5.585495711186453
30, 31, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00031.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00032.png', 4.983203401707757
31, 32, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00032.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00033.png', 5.448719080062265
32, 33, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00033.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00034.png', 5.423805834652181
33, 34, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00034.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00035.png', 4.436481739110598
34, 35, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00035.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00036.png', 4.148418503989043
35, 36, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00036.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00037.png', 4.624430460508618
36, 37, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00037.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00038.png', 5.184796793945209
37, 38, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00038.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00039.png', 4.158254637350215
38, 39, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00039.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00040.png', 4.0855582129831935
39, 40, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00040.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00041.png', 4.395882362127403
40, 41, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00041.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00042.png', 3.7577667214565356
41, 42, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00042.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00043.png', 3.673053874482316
42, 43, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00043.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00044.png', 4.644273648284551
43, 44, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00044.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00045.png', 4.25797995520152
44, 45, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00045.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00046.png', 5.449880812298424
45, 46, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00046.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00047.png', 4.950032417165306
46, 47, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00047.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00048.png', 5.138910147088572
47, 48, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00048.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00049.png', 4.351944391122083
48, 49, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00049.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00050.png', 4.5920734634035005
49, 50, './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00050.png', './GTEA61/flow_y_processed/S3/scoop_jam,spoon/1/flow_y_00051.png', 5.614087539960913
