0, 1, './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0002.png', 0.3739901717838712
1, 2, './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0003.png', 0.3635933646195643
2, 3, './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0004.png', 0.4787168818006584
3, 4, './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0005.png', 0.4981058057751082
4, 5, './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0006.png', 0.5154674030384427
5, 6, './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0007.png', 0.48768193118086206
6, 7, './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0008.png', 0.3987090594411681
7, 8, './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0009.png', 0.34852482627100134
8, 9, './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0010.png', 0.30605546555370056
9, 10, './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0011.png', 0.7091446131129461
10, 11, './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0012.png', 0.48066983734452884
11, 12, './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0013.png', 0.4816306924074517
12, 13, './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0014.png', 0.49202467517786863
13, 14, './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0015.png', 0.5115413654452216
14, 15, './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/mmaps/map0016.png', 0.5053866356112204
