0, 1, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0001.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0002.png', 0.29364649385780034
1, 2, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0002.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0003.png', 0.26239143670650245
2, 3, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0003.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0004.png', 0.23670630577849716
3, 4, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0004.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0005.png', 0.17907369581777793
4, 5, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0005.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0006.png', 0.17272728279878263
5, 6, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0006.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0007.png', 0.16888775724318505
6, 7, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0007.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0008.png', 0.1527359483509349
7, 8, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0008.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0009.png', 0.13928524954415528
8, 9, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0009.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0010.png', 0.11385042834616091
9, 10, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0010.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0011.png', 0.3839068954810456
10, 11, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0011.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0012.png', 0.3089075496625226
11, 12, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0012.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0013.png', 0.2555113481880913
12, 13, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0013.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0014.png', 0.26666899390454923
13, 14, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0014.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0015.png', 0.1692504520462122
14, 15, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0015.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0016.png', 0.22926104927118318
15, 16, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0016.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0017.png', 0.19695143218470101
16, 17, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0017.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0018.png', 0.22240728127354087
17, 18, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0018.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0019.png', 0.19200102008352588
18, 19, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0019.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0020.png', 0.17680393716199508
19, 20, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0020.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0021.png', 0.21193943156504977
20, 21, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0021.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0022.png', 0.19368527720801468
21, 22, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0022.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0023.png', 0.18195128273159739
22, 23, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0023.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/2/mmaps/map0024.png', 0.31195605368539825
