0, 1, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0002.png', 5.517248587657619
1, 2, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0003.png', 5.6730922261605095
2, 3, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0004.png', 5.640186096309767
3, 4, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0005.png', 5.587406485762354
4, 5, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0006.png', 5.347017095302109
5, 6, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0007.png', 5.1166672811290965
6, 7, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0008.png', 5.093032938933051
7, 8, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0009.png', 5.146796725264392
8, 9, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0010.png', 4.815830789370851
9, 10, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0011.png', 4.535083369056215
10, 11, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0012.png', 4.810979803612975
11, 12, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0013.png', 4.642683878568442
12, 13, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0014.png', 4.550463591028504
13, 14, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0015.png', 4.608423897772465
14, 15, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0016.png', 4.379252400807605
15, 16, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0017.png', 4.3890930643342045
16, 17, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0018.png', 4.112710737434651
17, 18, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0019.png', 4.314072923515518
18, 19, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0020.png', 4.99686860374448
19, 20, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/2/rgb/rgb0021.png', 4.672377365225953
