0, 1, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0002.png', 5.170148881577087
1, 2, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0003.png', 5.231139241830744
2, 3, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0004.png', 5.227073341666597
3, 4, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0005.png', 5.182247837435539
4, 5, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0006.png', 4.956125430330724
5, 6, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0007.png', 4.892396547361882
6, 7, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0008.png', 5.050497552074819
7, 8, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0009.png', 5.129096888396931
8, 9, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0010.png', 5.0351927632886175
9, 10, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0011.png', 4.685019891617552
10, 11, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0012.png', 4.338399355033659
11, 12, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0013.png', 4.255088569385795
12, 13, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0014.png', 4.355064043675604
13, 14, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0015.png', 3.957092838505025
14, 15, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0016.png', 4.104409026801276
15, 16, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0017.png', 4.810541891958355
16, 17, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0018.png', 4.160718140518871
17, 18, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0019.png', 4.445748289816048
18, 19, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0020.png', 4.528258109211822
19, 20, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0021.png', 4.6682191801448045
20, 21, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0021.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0022.png', 4.5483749560010835
21, 22, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0022.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0023.png', 4.995711345932037
22, 23, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0023.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0024.png', 5.072816212185067
23, 24, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0024.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0025.png', 5.048542666973422
24, 25, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0025.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0026.png', 4.915460286965104
25, 26, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0026.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0027.png', 4.593682504599509
26, 27, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0027.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0028.png', 4.950694439833432
27, 28, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0028.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0029.png', 5.476900821746042
28, 29, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0029.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0030.png', 5.062996915792592
29, 30, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0030.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0031.png', 4.859615123904393
30, 31, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0031.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0032.png', 4.830616770204997
31, 32, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0032.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0033.png', 4.851244938582299
32, 33, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0033.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0034.png', 5.1674517605770545
33, 34, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0034.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0035.png', 5.017132319777481
34, 35, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0035.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0036.png', 4.802955664449259
35, 36, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0036.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0037.png', 4.753950236303084
36, 37, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0037.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0038.png', 4.872794724765712
37, 38, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0038.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0039.png', 4.558723255949058
38, 39, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0039.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0040.png', 4.441467992964867
39, 40, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0040.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0041.png', 4.97897193641119
40, 41, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0041.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0042.png', 5.031931946083904
41, 42, './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0042.png', './GTEA61/processed_frames2/S2/put_bread,bread/2/rgb/rgb0043.png', 4.972643053196535
