0, 1, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00002.png', 4.57771797928329
1, 2, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00003.png', 5.371174586774902
2, 3, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00004.png', 4.803446030957604
3, 4, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00005.png', 4.823754676103523
4, 5, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00006.png', 5.677430743046229
5, 6, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00007.png', 5.035141936088884
6, 7, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00008.png', 5.027141882132709
7, 8, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00009.png', 5.588166213699986
8, 9, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00010.png', 4.609715869500819
9, 10, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00011.png', 5.127699664997753
10, 11, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00012.png', 5.527936909178715
11, 12, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00013.png', 4.964920376301685
12, 13, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00014.png', 5.403392811870048
13, 14, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00015.png', 4.964971589690467
14, 15, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00016.png', 4.853186105094055
15, 16, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00017.png', 5.431667376773824
16, 17, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00018.png', 4.881729448819354
17, 18, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00019.png', 4.792081965725852
18, 19, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00020.png', 5.379773841684716
19, 20, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00021.png', 4.853781093827518
20, 21, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00022.png', 5.579476240532499
21, 22, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00023.png', 4.912497191567667
22, 23, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00024.png', 5.064509949453314
23, 24, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00025.png', 4.983853139571251
24, 25, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00026.png', 4.980737869593433
25, 26, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00027.png', 5.061799392902761
26, 27, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00028.png', 4.958850555205907
27, 28, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00029.png', 5.116696250686769
28, 29, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00030.png', 4.626361351091542
29, 30, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00031.png', 5.580646968326687
30, 31, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00032.png', 5.23950640545128
31, 32, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00033.png', 5.530786425288439
32, 33, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00034.png', 4.736978773644042
33, 34, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00034.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00035.png', 5.669165147619862
34, 35, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00035.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00036.png', 5.501393836809894
35, 36, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00036.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00037.png', 5.523873213079634
36, 37, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00037.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00038.png', 5.461411323767643
37, 38, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00038.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00039.png', 5.292319582720323
38, 39, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00039.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00040.png', 5.32493210830466
39, 40, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00040.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00041.png', 5.43502888092205
40, 41, './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00041.png', './GTEA61/flow_x_processed/S3/spread_jam,spoon,bread/1/flow_x_00042.png', 4.809859512951187
