0, 1, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00001.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00002.png', 4.687714844022982
1, 2, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00002.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00003.png', 4.622938772054724
2, 3, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00003.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00004.png', 4.628106071450359
3, 4, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00004.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00005.png', 4.152659478248444
4, 5, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00005.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00006.png', 3.8952665541801426
5, 6, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00006.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00007.png', 4.5304830415000525
6, 7, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00007.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00008.png', 4.240213490611382
7, 8, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00008.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00009.png', 4.654749120358386
8, 9, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00009.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00010.png', 4.760755480146985
9, 10, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00010.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00011.png', 5.160780995363771
10, 11, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00011.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00012.png', 4.741876496591024
11, 12, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00012.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00013.png', 4.974036819569514
12, 13, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00013.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00014.png', 5.135688371925786
13, 14, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00014.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00015.png', 4.615324003634834
14, 15, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00015.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00016.png', 3.9228312366610645
15, 16, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00016.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00017.png', 4.61401750193081
16, 17, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00017.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00018.png', 4.991557944140415
17, 18, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00018.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00019.png', 4.76697170516703
18, 19, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00019.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00020.png', 4.582214935008853
19, 20, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00020.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00021.png', 4.072815414176875
20, 21, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00021.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00022.png', 4.359961064071712
21, 22, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00022.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00023.png', 4.9688289140708655
22, 23, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00023.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00024.png', 4.458710457036767
23, 24, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00024.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00025.png', 5.060469277614077
24, 25, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00025.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00026.png', 4.82565316868146
25, 26, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00026.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00027.png', 4.446450661628042
26, 27, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00027.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00028.png', 4.960161225336483
27, 28, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00028.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00029.png', 4.233420408936222
28, 29, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00029.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00030.png', 4.508377186751359
29, 30, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00030.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00031.png', 4.240532699112012
30, 31, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00031.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00032.png', 4.1541449568063005
31, 32, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00032.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00033.png', 4.470718868336677
32, 33, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00033.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00034.png', 4.620942441334577
33, 34, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00034.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00035.png', 4.330389648004091
34, 35, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00035.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00036.png', 3.893812025739611
35, 36, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00036.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00037.png', 4.315861197232271
36, 37, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00037.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00038.png', 4.989685490256477
37, 38, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00038.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00039.png', 4.865915913900324
38, 39, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00039.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00040.png', 4.8900867044000975
39, 40, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00040.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00041.png', 5.324794705818292
40, 41, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00041.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00042.png', 4.999305223009157
41, 42, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00042.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00043.png', 4.729418119978049
42, 43, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00043.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00044.png', 4.802754577392066
43, 44, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00044.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00045.png', 4.734523834075434
44, 45, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00045.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00046.png', 4.385631654315612
45, 46, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00046.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00047.png', 4.1657068980688186
46, 47, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00047.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00048.png', 4.256175834081996
47, 48, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00048.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00049.png', 4.351734182109488
48, 49, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00049.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00050.png', 3.7552474934192848
49, 50, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00050.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00051.png', 4.029971353243767
50, 51, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00051.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00052.png', 3.820036565566494
51, 52, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00052.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00053.png', 3.962025021823312
52, 53, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00053.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00054.png', 4.5112945609444015
53, 54, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00054.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00055.png', 4.328724767835763
54, 55, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00055.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00056.png', 4.999746225940124
55, 56, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00056.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00057.png', 4.4205114955009375
56, 57, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00057.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00058.png', 5.121105763062609
57, 58, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00058.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00059.png', 4.60857435555527
58, 59, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00059.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00060.png', 4.599267900465471
59, 60, './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00060.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/3/flow_x_00061.png', 4.5321093533078995
