0, 1, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0002.png', 6.093575773848661
1, 2, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0003.png', 5.903458525309238
2, 3, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0004.png', 6.125509138501111
3, 4, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0005.png', 5.763918782702375
4, 5, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0006.png', 5.585066245877092
5, 6, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0007.png', 5.594298355110397
6, 7, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0008.png', 5.61399093422184
7, 8, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0009.png', 5.494285989622822
8, 9, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0010.png', 5.637613547172012
9, 10, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0011.png', 5.668446355726771
10, 11, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0012.png', 5.202126807027253
11, 12, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0013.png', 5.324568953363048
12, 13, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0014.png', 5.387146085808935
13, 14, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0015.png', 4.96114315069524
14, 15, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0016.png', 4.911041729484775
15, 16, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0017.png', 4.470248548412701
16, 17, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0018.png', 4.465775774054911
17, 18, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0019.png', 5.121128205563087
18, 19, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/rgb/rgb0020.png', 5.4032159501334345
