0, 1, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0002.png', 5.119859788638721
1, 2, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0003.png', 4.563630406473723
2, 3, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0004.png', 4.763324333142691
3, 4, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0005.png', 5.03774788910718
4, 5, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0006.png', 5.0843596259621275
5, 6, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0007.png', 5.014231979666826
6, 7, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0008.png', 5.1229357170593826
7, 8, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0009.png', 5.084426285711417
8, 9, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0010.png', 4.621267794824959
9, 10, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0011.png', 4.525417253137598
10, 11, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0012.png', 4.730615834806864
11, 12, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0013.png', 4.207625873217541
12, 13, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0014.png', 4.626821479599015
13, 14, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0015.png', 4.868820349205577
14, 15, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0016.png', 4.533518571691135
15, 16, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0017.png', 5.167464323463231
16, 17, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0018.png', 5.831724410226377
17, 18, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0019.png', 5.9828168438569005
18, 19, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/rgb/rgb0020.png', 6.030069158664336
