0, 1, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0002.png', 0.46610421917218203
1, 2, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0003.png', 0.45992237536475683
2, 3, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0004.png', 0.2577755908909384
3, 4, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0005.png', 0.14725309706518344
4, 5, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0006.png', 0.13229953725591298
5, 6, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0007.png', 0.14948279040118773
6, 7, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0008.png', 0.1662498373185151
7, 8, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0009.png', 0.2155067080966064
8, 9, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0010.png', 0.20540630311431785
9, 10, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0011.png', 0.6397083025297351
10, 11, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0012.png', 0.4305620759025729
11, 12, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0013.png', 0.40794880459802263
12, 13, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0014.png', 0.37011943244132817
13, 14, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0015.png', 0.16286248303205578
14, 15, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0016.png', 0.20091996645468985
15, 16, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0017.png', 0.2340359904010168
16, 17, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0018.png', 0.2679875205861093
17, 18, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0019.png', 0.25006349629543656
