0, 1, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00002.png', 5.994399243800801
1, 2, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00003.png', 5.73236593858438
2, 3, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00004.png', 5.549437582719462
3, 4, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00005.png', 5.132244402635018
4, 5, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00006.png', 5.416307551230548
5, 6, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00007.png', 4.867701512222078
6, 7, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00008.png', 6.40668257190092
7, 8, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00009.png', 5.900385914855823
8, 9, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00010.png', 6.677640837276381
9, 10, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00011.png', 6.591128910653651
10, 11, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00012.png', 6.426831323138904
11, 12, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00013.png', 5.947973220560553
12, 13, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00014.png', 7.180392601021965
13, 14, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00015.png', 6.648152719773696
14, 15, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00016.png', 5.56394646739234
15, 16, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00017.png', 5.494857129398518
16, 17, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00018.png', 5.025883463443468
17, 18, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00019.png', 4.488949661355804
18, 19, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00020.png', 5.529232533773565
19, 20, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00021.png', 5.233851247616126
20, 21, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00022.png', 5.486643240896717
21, 22, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00023.png', 4.850605245832845
22, 23, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00024.png', 4.850504904271324
23, 24, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00025.png', 5.211141179636164
24, 25, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00026.png', 6.438679758676338
25, 26, './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S2/put_cheese,bread/1/flow_y_00027.png', 7.525735737617032
