0, 1, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00001.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00002.png', 4.434352773259378
1, 2, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00002.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00003.png', 4.64688460970848
2, 3, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00003.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00004.png', 4.925537576826216
3, 4, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00004.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00005.png', 4.693047488510475
4, 5, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00005.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00006.png', 3.8656783459138966
5, 6, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00006.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00007.png', 4.125988604636106
6, 7, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00007.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00008.png', 3.5311250161380476
7, 8, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00008.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00009.png', 3.5412748342877824
8, 9, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00009.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00010.png', 3.6349083880317505
9, 10, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00010.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00011.png', 4.0933431989397
10, 11, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00011.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00012.png', 3.619075024148151
11, 12, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00012.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00013.png', 3.30223237183658
12, 13, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00013.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00014.png', 3.1703492026793594
13, 14, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00014.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00015.png', 2.978137839888985
14, 15, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00015.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00016.png', 3.6016041256015567
15, 16, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00016.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00017.png', 3.947169691661479
16, 17, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00017.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00018.png', 3.984468091939255
17, 18, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00018.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00019.png', 3.873227071512094
18, 19, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00019.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/3/flow_x_00020.png', 4.510665394548403
