0, 1, './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00001.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00002.png', 5.674912895499595
1, 2, './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00002.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00003.png', 4.5626577243894895
2, 3, './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00003.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00004.png', 5.674406862971041
3, 4, './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00004.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00005.png', 5.141169472983592
4, 5, './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00005.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00006.png', 4.810756564264419
5, 6, './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00006.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00007.png', 4.506961688004396
6, 7, './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00007.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00008.png', 4.185290091204361
7, 8, './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00008.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00009.png', 4.798747209779708
8, 9, './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00009.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00010.png', 4.260748304541762
9, 10, './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00010.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00011.png', 4.2310380062696735
10, 11, './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00011.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00012.png', 4.494751209541691
11, 12, './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00012.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/3/flow_x_00013.png', 4.619142371300593
