0, 1, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00001.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00002.png', 5.585245929492642
1, 2, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00002.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00003.png', 4.516380249953748
2, 3, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00003.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00004.png', 4.930065760557298
3, 4, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00004.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00005.png', 4.049082008134095
4, 5, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00005.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00006.png', 4.810059577894779
5, 6, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00006.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00007.png', 4.4615245186901795
6, 7, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00007.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00008.png', 4.792994132979906
7, 8, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00008.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00009.png', 4.830147847684198
8, 9, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00009.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00010.png', 3.110464828700594
9, 10, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00010.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00011.png', 5.169884000034677
10, 11, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00011.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00012.png', 4.8399096718297825
11, 12, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00012.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00013.png', 5.407244443321133
12, 13, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00013.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00014.png', 3.6636341447045124
13, 14, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00014.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00015.png', 4.0166371000463625
14, 15, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00015.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00016.png', 4.028887084244395
15, 16, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00016.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00017.png', 3.4461745675935163
16, 17, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00017.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00018.png', 3.6281876929346035
17, 18, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00018.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00019.png', 4.281670956152134
18, 19, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00019.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00020.png', 3.633677417629555
19, 20, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00020.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00021.png', 5.216421862678536
20, 21, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00021.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00022.png', 4.67128446110002
21, 22, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00022.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00023.png', 3.992295871738782
22, 23, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00023.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00024.png', 3.5611822082378404
23, 24, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00024.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00025.png', 4.219835294411929
24, 25, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00025.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00026.png', 4.798773085908241
25, 26, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00026.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00027.png', 4.718060048254464
26, 27, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00027.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00028.png', 4.144857335263728
27, 28, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00028.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00029.png', 4.039482836285194
28, 29, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00029.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00030.png', 3.544730539557328
29, 30, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00030.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00031.png', 4.3596307381707975
30, 31, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00031.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00032.png', 4.24433882949198
31, 32, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00032.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00033.png', 3.225503952192213
32, 33, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00033.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00034.png', 4.46768091630029
33, 34, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00034.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00035.png', 4.317649824349818
34, 35, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00035.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00036.png', 4.516164634446434
35, 36, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00036.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00037.png', 3.0544798366020247
36, 37, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00037.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00038.png', 3.005949654773255
37, 38, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00038.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00039.png', 2.6700164914548425
38, 39, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00039.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00040.png', 3.502511788180124
39, 40, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00040.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00041.png', 4.602746679686564
40, 41, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00041.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00042.png', 4.521830435319955
41, 42, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00042.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00043.png', 3.5145730840760145
42, 43, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00043.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00044.png', 3.874938395928507
43, 44, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00044.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00045.png', 4.6429115876305
44, 45, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00045.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00046.png', 4.327759702077931
45, 46, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00046.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00047.png', 4.347670465871073
46, 47, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00047.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00048.png', 3.84574560000714
47, 48, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00048.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00049.png', 3.967628863711796
48, 49, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00049.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00050.png', 4.009509133652092
49, 50, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00050.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00051.png', 3.315461750177162
50, 51, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00051.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00052.png', 4.4688086400485885
51, 52, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00052.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00053.png', 5.1312491043828405
52, 53, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00053.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00054.png', 5.550975348788505
53, 54, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00054.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00055.png', 5.016111683206248
54, 55, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00055.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00056.png', 3.8142089103996164
55, 56, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00056.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00057.png', 4.654371519130749
56, 57, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00057.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00058.png', 3.979109417935637
57, 58, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00058.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00059.png', 3.7950015058386524
58, 59, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00059.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00060.png', 4.275383228218709
59, 60, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00060.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00061.png', 4.79758320181205
60, 61, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00061.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00062.png', 4.611906348465851
61, 62, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00062.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00063.png', 3.4057637608539677
62, 63, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00063.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00064.png', 3.73492227779878
63, 64, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00064.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00065.png', 3.6229953957971137
64, 65, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00065.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00066.png', 3.957414048989788
65, 66, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00066.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00067.png', 3.1927181672752343
66, 67, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00067.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00068.png', 3.0139105352900604
67, 68, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00068.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00069.png', 4.13367765718861
68, 69, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00069.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00070.png', 3.8999455448696247
69, 70, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00070.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00071.png', 3.6744361882333045
70, 71, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00071.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00072.png', 3.390700766642301
71, 72, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00072.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00073.png', 2.9869833603286287
72, 73, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00073.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00074.png', 2.828264930825633
73, 74, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00074.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00075.png', 3.233408530436499
74, 75, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00075.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00076.png', 3.628165397737502
75, 76, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00076.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00077.png', 3.513242856550382
76, 77, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00077.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00078.png', 3.4424079639911427
77, 78, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00078.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00079.png', 3.3653291266324663
78, 79, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00079.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00080.png', 3.0611444254791564
79, 80, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00080.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00081.png', 3.259347505032435
80, 81, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00081.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00082.png', 3.1847965095938346
81, 82, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00082.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00083.png', 2.9433260769460583
82, 83, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00083.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00084.png', 3.0630261885670826
83, 84, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00084.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00085.png', 3.2732493183261533
84, 85, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00085.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00086.png', 3.504337633390314
85, 86, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00086.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00087.png', 3.219118730545082
86, 87, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00087.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00088.png', 3.923004786318214
87, 88, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00088.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00089.png', 3.1710341423639905
88, 89, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00089.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00090.png', 3.438584318201634
89, 90, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00090.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00091.png', 3.858501007396508
90, 91, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00091.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00092.png', 3.3586255666809364
91, 92, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00092.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00093.png', 3.5688484468934423
92, 93, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00093.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00094.png', 3.9380696104856137
93, 94, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00094.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00095.png', 3.906595764124633
94, 95, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00095.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00096.png', 3.9327829594070485
95, 96, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00096.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00097.png', 5.032440091020783
96, 97, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00097.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00098.png', 4.649039670221375
97, 98, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00098.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00099.png', 4.610500149225912
98, 99, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00099.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00100.png', 3.7264197517092432
99, 100, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00100.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00101.png', 4.130494419889826
100, 101, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00101.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00102.png', 5.137310620932209
101, 102, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00102.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00103.png', 5.622432542640812
102, 103, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00103.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00104.png', 5.284256281243043
103, 104, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00104.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00105.png', 5.164291062079351
104, 105, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00105.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00106.png', 3.968415940011395
105, 106, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00106.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00107.png', 4.172055602431285
106, 107, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00107.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00108.png', 4.237843333726219
107, 108, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00108.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00109.png', 4.775922066541101
108, 109, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00109.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00110.png', 4.6451455680201015
109, 110, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00110.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00111.png', 5.734983932363309
110, 111, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00111.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00112.png', 4.691421495231679
111, 112, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00112.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00113.png', 4.115002448829182
112, 113, './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00113.png', './GTEA61/flow_y_processed/S3/pour_water,cup/1/flow_y_00114.png', 4.757111005757309
