0, 1, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00002.png', 5.523500205974474
1, 2, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00003.png', 5.861940361001799
2, 3, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00004.png', 6.330506227603108
3, 4, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00005.png', 5.805274572408006
4, 5, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00006.png', 6.475546683261885
5, 6, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00007.png', 6.764358293233945
6, 7, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00008.png', 5.990606152636849
7, 8, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00009.png', 5.7809806227908265
8, 9, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00010.png', 5.299915614954548
9, 10, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00011.png', 6.405575451283661
10, 11, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00012.png', 6.2987068767214405
11, 12, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00013.png', 5.80525203938798
12, 13, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00014.png', 5.891295742076098
13, 14, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00015.png', 6.111123326854378
14, 15, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00016.png', 6.366156053716489
15, 16, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00017.png', 5.983100317542466
16, 17, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00018.png', 5.670692988420368
17, 18, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00019.png', 5.447441106058532
18, 19, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00020.png', 5.302141580119751
19, 20, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00021.png', 5.311271529602111
20, 21, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00022.png', 5.619665669292948
21, 22, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00023.png', 5.719180810726901
22, 23, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00024.png', 5.561988354693638
23, 24, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00025.png', 5.851709210861088
24, 25, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00026.png', 4.726104449161969
25, 26, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00027.png', 5.925733452743034
26, 27, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00028.png', 5.942260493547084
27, 28, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00029.png', 5.211322646100366
28, 29, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00030.png', 5.16803456107919
29, 30, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00031.png', 5.261207725004365
30, 31, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00032.png', 5.532407478311447
31, 32, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00033.png', 4.908235746175245
32, 33, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00033.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00034.png', 4.487806261120633
33, 34, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00034.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00035.png', 4.817871630298794
34, 35, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00035.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00036.png', 4.037726456760105
35, 36, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00036.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00037.png', 4.427622444819399
36, 37, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00037.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00038.png', 3.9664803966363666
37, 38, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00038.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00039.png', 4.444442684007716
38, 39, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00039.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00040.png', 3.858706712744603
39, 40, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00040.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00041.png', 5.21992429133311
40, 41, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00041.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00042.png', 5.3032136155912974
41, 42, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00042.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00043.png', 5.4849222358997505
42, 43, './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00043.png', './GTEA61/flow_y_processed/S1/pour_honey,bread/1/flow_y_00044.png', 4.381198107403569
