0, 1, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0001.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0002.png', 0.1806695279905332
1, 2, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0002.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0003.png', 0.18256886437909303
2, 3, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0003.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0004.png', 0.19566466500052115
3, 4, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0004.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0005.png', 0.208892386492757
4, 5, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0005.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0006.png', 0.22950280010963173
5, 6, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0006.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0007.png', 0.25021876743101645
6, 7, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0007.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0008.png', 0.25064554383385834
7, 8, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0008.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0009.png', 0.21670424866565066
8, 9, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0009.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0010.png', 0.24507215848117758
9, 10, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0010.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0011.png', 0.30070247311412684
10, 11, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0011.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0012.png', 0.1719167893550753
11, 12, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0012.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0013.png', 0.21314503477280422
12, 13, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0013.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0014.png', 0.25972563333376686
13, 14, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0014.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0015.png', 0.23083052513051383
14, 15, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0015.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0016.png', 0.2115230679984424
15, 16, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0016.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0017.png', 0.26892749686713535
16, 17, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0017.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0018.png', 0.23115191414142058
17, 18, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0018.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0019.png', 0.22097695812948423
18, 19, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0019.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0020.png', 0.24070756650537067
19, 20, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0020.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0021.png', 0.2950140166461278
20, 21, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0021.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0022.png', 0.23746122128042235
21, 22, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0022.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0023.png', 0.24401362529044346
22, 23, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0023.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0024.png', 0.2728962347668549
23, 24, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0024.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0025.png', 0.22720183640962013
24, 25, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0025.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0026.png', 0.19109177830677243
25, 26, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0026.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0027.png', 0.19256306326003747
26, 27, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0027.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0028.png', 0.2673097951196665
27, 28, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0028.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0029.png', 0.2157133727091902
28, 29, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0029.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0030.png', 0.19342652566277416
29, 30, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0030.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0031.png', 0.20734121960261542
30, 31, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0031.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0032.png', 0.22314140231801274
31, 32, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0032.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0033.png', 0.1855137656376307
32, 33, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0033.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/mmaps/map0034.png', 0.21839275264322822
