0, 1, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0002.png', 4.960086231608229
1, 2, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0003.png', 4.74398425502486
2, 3, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0004.png', 5.374183828788878
3, 4, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0005.png', 5.2252063134345965
4, 5, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0006.png', 5.097778520521756
5, 6, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0007.png', 5.223277192684653
6, 7, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0008.png', 5.338076782073
7, 8, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0009.png', 5.018942654116088
8, 9, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0010.png', 5.169548170151301
9, 10, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0011.png', 5.175070714251899
10, 11, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0012.png', 5.309589265362696
11, 12, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0013.png', 4.977425935035504
12, 13, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0014.png', 4.528596248033062
13, 14, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0015.png', 4.722644585802161
14, 15, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0016.png', 4.483269786052578
15, 16, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0017.png', 4.87825530189444
16, 17, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0018.png', 5.208981487425277
17, 18, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0019.png', 5.132440227261215
18, 19, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0020.png', 5.181929597925563
19, 20, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0021.png', 5.193754033317555
20, 21, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0021.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0022.png', 5.259694849812656
21, 22, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0022.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0023.png', 5.248328701255957
22, 23, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0023.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0024.png', 4.955543359353948
23, 24, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0024.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0025.png', 4.453191021512762
24, 25, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0025.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0026.png', 4.646832096419379
25, 26, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0026.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0027.png', 4.795034139302463
26, 27, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0027.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0028.png', 4.6215281914721364
27, 28, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0028.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0029.png', 4.891459942633878
28, 29, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0029.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0030.png', 4.307854202188583
29, 30, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0030.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0031.png', 4.101992522319894
30, 31, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0031.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0032.png', 4.416259160763967
31, 32, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0032.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0033.png', 4.372191813377149
32, 33, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0033.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0034.png', 4.473654184766168
33, 34, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0034.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0035.png', 5.064980636550029
34, 35, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0035.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0036.png', 5.121583861264129
35, 36, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0036.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/rgb/rgb0037.png', 4.384371432751331
