0, 1, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0002.png', 5.291262446855024
1, 2, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0003.png', 5.54441636897924
2, 3, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0004.png', 5.665369255841568
3, 4, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0005.png', 5.614776039012822
4, 5, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0006.png', 5.587441081331764
5, 6, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0007.png', 5.402960969141972
6, 7, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0008.png', 5.2860967741141005
7, 8, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0009.png', 5.531397578617901
8, 9, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0010.png', 5.657052970590872
9, 10, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0011.png', 5.354584451014993
10, 11, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0012.png', 5.349053133358094
11, 12, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0013.png', 5.5785314009247005
12, 13, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0014.png', 5.444596385921032
