0, 1, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00002.png', 5.506588928504403
1, 2, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00003.png', 5.1444028746672705
2, 3, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00004.png', 5.690560902903965
3, 4, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00005.png', 5.818022648148465
4, 5, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00006.png', 4.270471081045776
5, 6, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00007.png', 4.805568608524705
6, 7, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00008.png', 5.199728957431241
7, 8, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00009.png', 5.482728861495871
8, 9, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00010.png', 5.230930318813378
9, 10, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00011.png', 4.302288859147218
10, 11, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00012.png', 4.2228862206668465
11, 12, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00013.png', 4.042146013899891
12, 13, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00014.png', 3.6383067522936567
13, 14, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00015.png', 4.295020856881476
14, 15, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00016.png', 4.372950918336853
15, 16, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00017.png', 4.133810351868533
16, 17, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00018.png', 3.7711049044984275
17, 18, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00019.png', 4.716189809029255
18, 19, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00020.png', 5.580760779062652
19, 20, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00021.png', 5.018792968711704
20, 21, './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S4/pour_mustard,cheese,bread/1/flow_y_00022.png', 5.115441253309487
