0, 1, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00002.png', 7.400050771046374
1, 2, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00003.png', 5.8319432956158685
2, 3, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00004.png', 6.162112862206611
3, 4, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00005.png', 6.798195188759657
4, 5, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00006.png', 6.350520005415381
5, 6, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00007.png', 5.672912720769108
6, 7, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00008.png', 5.70055821006742
7, 8, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00009.png', 4.369369110310245
8, 9, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00010.png', 4.537661162078908
9, 10, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00011.png', 4.95289369296852
10, 11, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00012.png', 4.5990494093235395
11, 12, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00013.png', 5.062501620078488
12, 13, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00014.png', 4.506240063783139
13, 14, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00015.png', 5.436593876574014
14, 15, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00016.png', 4.789630003756975
15, 16, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00017.png', 4.714095294036956
16, 17, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00018.png', 5.411198885067739
17, 18, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00019.png', 6.385409711806407
18, 19, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00020.png', 5.730992014644017
19, 20, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00021.png', 6.53462514514671
20, 21, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00022.png', 4.602388049995932
21, 22, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00023.png', 4.899713827314015
22, 23, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00024.png', 5.361787090823738
23, 24, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00025.png', 5.233863863873164
24, 25, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00026.png', 4.431819552421444
25, 26, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00027.png', 5.095018904356776
26, 27, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00028.png', 4.697527489475917
27, 28, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00029.png', 5.31523453501492
28, 29, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00030.png', 6.234070377245603
29, 30, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00031.png', 6.118086509676289
30, 31, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00032.png', 7.093027037511329
31, 32, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00033.png', 6.126387665243525
32, 33, './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00033.png', './GTEA61/flow_y_processed/S4/put_bread,bread/1/flow_y_00034.png', 6.7376265116215155
