0, 1, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0002.png', 0.047865016388468275
1, 2, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0003.png', 0.030078339594110798
2, 3, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0004.png', 0.031858059405500835
3, 4, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0005.png', 0.03333728874940131
4, 5, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0006.png', 0.03721733010056118
5, 6, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0007.png', 0.04551956369025569
6, 7, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0008.png', 0.04087820373057579
7, 8, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0009.png', 0.03375740212390105
8, 9, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0010.png', 0.046304369694441044
9, 10, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0011.png', 0.09499069405620707
10, 11, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0012.png', 0.07014062494762063
11, 12, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0013.png', 0.027184969546309088
12, 13, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0014.png', 0.045781503673039424
13, 14, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0015.png', 0.06398733730485158
14, 15, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0016.png', 0.04838263870281197
15, 16, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0017.png', 0.03817366450428554
16, 17, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0018.png', 0.038989280464671844
17, 18, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0019.png', 0.04610845256528645
18, 19, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0020.png', 0.05774490308501487
19, 20, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0021.png', 0.03966614122931024
20, 21, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0022.png', 0.05643961519968757
21, 22, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0023.png', 0.07494194478099976
22, 23, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0024.png', 0.14953010834130748
23, 24, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0025.png', 0.1467296150824741
24, 25, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0026.png', 0.1543770819908324
25, 26, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0027.png', 0.145346511776385
26, 27, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0028.png', 0.163321677503385
27, 28, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0029.png', 0.18525075724084314
28, 29, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0030.png', 0.18248068593338945
29, 30, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0030.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0031.png', 0.19368527720801468
30, 31, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0031.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0032.png', 0.1976363834712617
31, 32, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0032.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0033.png', 0.18770010183674574
32, 33, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0033.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0034.png', 0.1827011024084229
33, 34, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0034.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0035.png', 0.3677599557961131
34, 35, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0035.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0036.png', 0.38797270551363155
35, 36, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0036.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0037.png', 0.3465782839623669
36, 37, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0037.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0038.png', 0.39498731928537834
37, 38, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0038.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0039.png', 0.3845915337337281
38, 39, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0039.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0040.png', 0.39247346699086294
39, 40, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0040.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0041.png', 0.4055762553932087
40, 41, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0041.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0042.png', 0.3251983684623615
41, 42, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0042.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0043.png', 0.3503339449292994
42, 43, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0043.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0044.png', 0.3949261244780786
43, 44, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0044.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0045.png', 0.40533550108480887
44, 45, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0045.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0046.png', 0.3453544617622156
45, 46, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0046.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0047.png', 0.35732363766881403
46, 47, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0047.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0048.png', 0.3992259301838276
47, 48, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0048.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0049.png', 0.39161278577871617
48, 49, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0049.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0050.png', 0.39590453209480014
49, 50, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0050.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0051.png', 0.3018408501914259
50, 51, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0051.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0052.png', 0.3053491766246903
51, 52, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0052.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/mmaps/map0053.png', 0.3084858637406969
