0, 1, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0002.png', 0.3793758429483261
1, 2, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0002.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0003.png', 0.2894887855655629
2, 3, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0003.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0004.png', 0.25501123924469454
3, 4, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0004.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0005.png', 0.24694908926187328
4, 5, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0005.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0006.png', 0.2317138925124637
5, 6, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0006.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0007.png', 0.27894707587472284
6, 7, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0007.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0008.png', 0.22659470277392843
7, 8, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0008.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0009.png', 0.14496419185389423
8, 9, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0009.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0010.png', 0.15801312162814612
9, 10, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0010.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0011.png', 0.6319258897475953
10, 11, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0011.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0012.png', 0.427343236257003
11, 12, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0012.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0013.png', 0.3360141848321935
12, 13, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0013.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0014.png', 0.35419773311070224
13, 14, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0014.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0015.png', 0.3102760107754261
14, 15, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0015.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0016.png', 0.34499015851254794
15, 16, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0016.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0017.png', 0.3503996323527828
16, 17, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0017.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0018.png', 0.35855667642812444
17, 18, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0018.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0019.png', 0.20329494573299245
18, 19, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0019.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0020.png', 0.21064763372224973
19, 20, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0020.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0021.png', 0.20993788203770042
20, 21, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0021.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0022.png', 0.24737833988665173
21, 22, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0022.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0023.png', 0.22199900454720708
22, 23, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0023.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0024.png', 0.19368527720801468
23, 24, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0024.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0025.png', 0.1806695279905332
24, 25, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0025.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0026.png', 0.12823987989600322
25, 26, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0026.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0027.png', 0.14510760123750455
26, 27, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0027.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0028.png', 0.11172785451106211
27, 28, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0028.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0029.png', 0.1018878327009759
28, 29, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0029.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0030.png', 0.1332836310193922
29, 30, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0030.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0031.png', 0.1282896325976292
30, 31, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0031.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0032.png', 0.13027475480524447
31, 32, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0032.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/1/mmaps/map0033.png', 0.14184525832562986
