0, 1, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/3/flow_y_00001.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/3/flow_y_00002.png', 5.501112160631946
1, 2, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/3/flow_y_00002.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/3/flow_y_00003.png', 5.016463198271793
2, 3, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/3/flow_y_00003.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/3/flow_y_00004.png', 6.121636949489019
3, 4, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/3/flow_y_00004.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/3/flow_y_00005.png', 5.012588250770547
4, 5, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/3/flow_y_00005.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/3/flow_y_00006.png', 6.246962204722387
5, 6, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/3/flow_y_00006.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/3/flow_y_00007.png', 5.172452511731157
6, 7, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/3/flow_y_00007.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/3/flow_y_00008.png', 5.87471525782011
7, 8, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/3/flow_y_00008.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/3/flow_y_00009.png', 5.190018507471092
8, 9, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/3/flow_y_00009.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/3/flow_y_00010.png', 5.82125701342664
9, 10, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/3/flow_y_00010.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/3/flow_y_00011.png', 6.386087607228189
10, 11, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/3/flow_y_00011.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/3/flow_y_00012.png', 5.7777233570266855
