0, 1, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0001.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0002.png', 0.1923901935606281
1, 2, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0002.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0003.png', 0.19716557812799762
2, 3, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0003.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0004.png', 0.1926926767063517
3, 4, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0004.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0005.png', 0.18410943650855274
4, 5, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0005.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0006.png', 0.17595561428265227
5, 6, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0006.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0007.png', 0.17416477712215822
6, 7, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0007.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0008.png', 0.21505176329445075
7, 8, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0008.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0009.png', 0.25289052759670316
8, 9, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0009.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0010.png', 0.2628471957692232
9, 10, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0010.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0011.png', 0.3197356341636227
10, 11, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0011.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0012.png', 0.24589408589758135
11, 12, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0012.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0013.png', 0.22659470277392843
12, 13, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0013.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0014.png', 0.22358954148699026
13, 14, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0014.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0015.png', 0.2151758777337502
14, 15, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0015.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0016.png', 0.21558938356750693
15, 16, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0016.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0017.png', 0.25389402950375317
16, 17, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0017.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0018.png', 0.29763238321232455
17, 18, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0018.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0019.png', 0.3556649450088347
18, 19, './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0019.png', './GTEA61/processed_frames2/S2/pour_sugar,spoon,cup/3/mmaps/map0020.png', 0.39846568007879996
