0, 1, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00001.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00002.png', 5.3059352480438005
1, 2, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00002.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00003.png', 4.108688990325752
2, 3, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00003.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00004.png', 3.905666744964646
3, 4, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00004.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00005.png', 3.352282928528174
4, 5, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00005.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00006.png', 4.083795479425521
5, 6, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00006.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00007.png', 4.12299930564641
6, 7, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00007.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00008.png', 4.109815449891817
7, 8, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00008.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00009.png', 4.101255355533311
8, 9, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00009.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00010.png', 3.8165589132816415
9, 10, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00010.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00011.png', 3.8689689375225425
10, 11, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00011.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00012.png', 3.4265640451203234
11, 12, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00012.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00013.png', 4.28705737548356
12, 13, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00013.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00014.png', 4.0289011179129455
13, 14, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00014.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00015.png', 3.7118095545716483
14, 15, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00015.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00016.png', 4.743748424958367
15, 16, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00016.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00017.png', 4.4816821496628645
16, 17, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00017.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00018.png', 4.186597873048146
17, 18, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00018.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00019.png', 4.440660325387828
18, 19, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00019.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/3/flow_x_00020.png', 4.781419100224988
