0, 1, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00001.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00002.png', 4.344108684041128
1, 2, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00002.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00003.png', 4.516583491725861
2, 3, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00003.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00004.png', 4.98210515605185
3, 4, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00004.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00005.png', 5.201932639564343
4, 5, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00005.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00006.png', 4.799372173573745
5, 6, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00006.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00007.png', 5.015687092853448
6, 7, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00007.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00008.png', 5.210786126557129
7, 8, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00008.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00009.png', 5.931945719297552
8, 9, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00009.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00010.png', 5.67666177678027
9, 10, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00010.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00011.png', 5.914723052032747
10, 11, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00011.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00012.png', 5.401078295857373
11, 12, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00012.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00013.png', 6.274771719679715
12, 13, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00013.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00014.png', 5.4454230034036
13, 14, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00014.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00015.png', 5.083885314463544
14, 15, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00015.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00016.png', 5.976923592139366
15, 16, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00016.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00017.png', 5.206334015240458
16, 17, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00017.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00018.png', 5.8455977579009035
17, 18, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00018.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/3/flow_y_00019.png', 4.761618684293793
