0, 1, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00001.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00002.png', 5.533837718779253
1, 2, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00002.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00003.png', 6.327620620483632
2, 3, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00003.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00004.png', 6.281084798865224
3, 4, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00004.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00005.png', 6.092177644562739
4, 5, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00005.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00006.png', 5.103759209853291
5, 6, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00006.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00007.png', 4.677425730382693
6, 7, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00007.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00008.png', 4.971257956569339
7, 8, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00008.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00009.png', 4.7525486838719795
8, 9, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00009.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00010.png', 5.166683301971426
9, 10, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00010.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00011.png', 4.51682632518105
10, 11, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00011.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00012.png', 4.305949488083862
11, 12, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00012.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00013.png', 4.861594809870825
12, 13, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00013.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00014.png', 4.898880445905486
13, 14, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00014.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00015.png', 4.615595458195659
14, 15, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00015.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00016.png', 5.4417604393105155
15, 16, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00016.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00017.png', 5.7896054222570585
16, 17, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00017.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00018.png', 6.2974075649046215
17, 18, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00018.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00019.png', 6.850368906586695
18, 19, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00019.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00020.png', 6.245470355085673
19, 20, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00020.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/2/flow_x_00021.png', 6.215523490742454
