0, 1, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00001.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00002.png', 5.521873895998145
1, 2, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00002.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00003.png', 5.801384106100987
2, 3, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00003.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00004.png', 5.405308832555777
3, 4, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00004.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00005.png', 5.710304702677995
4, 5, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00005.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00006.png', 6.034674997274891
5, 6, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00006.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00007.png', 5.195819195981024
6, 7, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00007.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00008.png', 5.642669159348223
7, 8, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00008.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00009.png', 5.5477205417820326
8, 9, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00009.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00010.png', 6.318164525796348
9, 10, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00010.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00011.png', 5.591848915117625
10, 11, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00011.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00012.png', 5.551177773779721
11, 12, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00012.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/2/flow_y_00013.png', 5.617983075120398
