0, 1, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0002.png', 0.4304463654831885
1, 2, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0003.png', 0.3780258740620078
2, 3, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0004.png', 0.2729335475306798
3, 4, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0005.png', 0.21368458773981308
4, 5, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0006.png', 0.2280910772519061
5, 6, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0007.png', 0.16820695263942545
6, 7, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0008.png', 0.133037827305158
7, 8, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0009.png', 0.11416004381656275
8, 9, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0010.png', 0.09834880527529366
9, 10, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0011.png', 0.6496967286236472
10, 11, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0012.png', 0.46763339841420737
11, 12, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0013.png', 0.42477968423052875
12, 13, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0014.png', 0.3447250767473948
13, 14, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0015.png', 0.2522721072496085
14, 15, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0016.png', 0.25107199926080664
15, 16, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0017.png', 0.21160636697912433
16, 17, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0018.png', 0.16231084809886132
17, 18, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0019.png', 0.11297179716129674
18, 19, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0020.png', 0.10114013285829776
19, 20, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0021.png', 0.11724235939315819
20, 21, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0022.png', 0.137488888353568
21, 22, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0023.png', 0.2237116968574407
22, 23, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0024.png', 0.20210882029678418
23, 24, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0025.png', 0.1520307598683031
24, 25, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0026.png', 0.15188958840038796
25, 26, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0027.png', 0.17845168053523733
26, 27, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0028.png', 0.18489986200111794
27, 28, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0029.png', 0.20675309076404097
28, 29, './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S3/pour_mayonnaise,cheese,bread/1/mmaps/map0030.png', 0.20062232431271465
