0, 1, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00002.png', 7.094688018123164
1, 2, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00002.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00003.png', 6.5737636810129185
2, 3, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00003.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00004.png', 5.670121758268842
3, 4, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00004.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00005.png', 6.476839399025119
4, 5, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00005.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00006.png', 4.864167337239515
5, 6, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00006.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00007.png', 6.694682143200437
6, 7, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00007.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00008.png', 4.563230137965279
7, 8, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00008.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00009.png', 5.408867627952854
8, 9, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00009.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00010.png', 5.437289121008421
9, 10, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00010.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00011.png', 5.3522835536620486
10, 11, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00011.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00012.png', 5.227833078611801
11, 12, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00012.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00013.png', 4.419773455845833
12, 13, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00013.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00014.png', 5.896229329097461
13, 14, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00014.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00015.png', 5.832599638916229
14, 15, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00015.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00016.png', 4.239933168537267
15, 16, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00016.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00017.png', 5.511374471205325
16, 17, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00017.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00018.png', 4.82824666107101
17, 18, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00018.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00019.png', 4.156449617147702
18, 19, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00019.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00020.png', 4.679292291413077
19, 20, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00020.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00021.png', 4.141313502693379
20, 21, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00021.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00022.png', 4.117689338831079
21, 22, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00022.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00023.png', 3.7466061742827486
22, 23, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00023.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00024.png', 4.3168096001072
23, 24, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00024.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00025.png', 3.6930562851467963
24, 25, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00025.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00026.png', 4.646141232682542
25, 26, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00026.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00027.png', 4.106597602669287
26, 27, './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00027.png', './GTEA61/flow_x_processed/S2/pour_honey,cup/1/flow_x_00028.png', 3.8446110362574664
