0, 1, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00001.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00002.png', 4.277482237162708
1, 2, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00002.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00003.png', 3.6974097862026913
2, 3, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00003.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00004.png', 4.10534552523841
3, 4, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00004.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00005.png', 4.267040881416407
4, 5, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00005.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00006.png', 4.233469599678846
5, 6, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00006.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00007.png', 4.018745665163408
6, 7, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00007.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00008.png', 4.491304585974301
7, 8, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00008.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00009.png', 4.020007120378995
8, 9, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00009.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00010.png', 4.158882368938624
9, 10, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00010.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00011.png', 4.748116468785315
10, 11, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00011.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00012.png', 4.237981219453316
11, 12, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00012.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00013.png', 4.174054714062248
12, 13, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00013.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00014.png', 4.669903973969275
13, 14, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00014.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00015.png', 5.489477615842041
14, 15, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00015.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00016.png', 6.016220443306644
15, 16, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00016.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00017.png', 4.516029035288341
16, 17, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00017.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00018.png', 5.7134406483885956
17, 18, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00018.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00019.png', 4.401196149160712
18, 19, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00019.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00020.png', 4.497671340251748
19, 20, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00020.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00021.png', 3.9487826724242328
20, 21, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00021.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00022.png', 4.8625016492995154
21, 22, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00022.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00023.png', 5.562166863137761
22, 23, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00023.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00024.png', 5.746450101156541
23, 24, './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00024.png', './GTEA61/flow_x_processed/S2/pour_water,cup/3/flow_x_00025.png', 5.307067008888174
