0, 1, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00001.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00002.png', 6.263428633097035
1, 2, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00002.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00003.png', 5.265111944952007
2, 3, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00003.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00004.png', 4.809994555194074
3, 4, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00004.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00005.png', 5.60303996185253
4, 5, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00005.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00006.png', 5.330592600944237
5, 6, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00006.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00007.png', 6.499079096944326
6, 7, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00007.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00008.png', 5.004433740740874
7, 8, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00008.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00009.png', 5.548023369507945
8, 9, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00009.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00010.png', 4.7946947852410675
9, 10, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00010.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00011.png', 3.7939173420866688
10, 11, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00011.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00012.png', 4.113262083678434
11, 12, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00012.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00013.png', 4.998415702844849
12, 13, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00013.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00014.png', 5.322174436137288
13, 14, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00014.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00015.png', 4.670391394043952
14, 15, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00015.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00016.png', 4.53334382480024
15, 16, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00016.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00017.png', 4.812798447862224
16, 17, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00017.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00018.png', 4.815736938166648
17, 18, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00018.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00019.png', 4.632186232707098
18, 19, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00019.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00020.png', 4.394785732904582
19, 20, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00020.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00021.png', 4.329438046489485
20, 21, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00021.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00022.png', 4.045240783014936
21, 22, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00022.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00023.png', 4.067989412784938
22, 23, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00023.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00024.png', 4.426757486146444
23, 24, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00024.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00025.png', 4.270853649718312
24, 25, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00025.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00026.png', 3.208735965434966
25, 26, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00026.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00027.png', 4.6646923798851345
26, 27, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00027.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00028.png', 4.930970581662298
27, 28, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00028.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00029.png', 6.3588160800747
28, 29, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00029.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/3/flow_x_00030.png', 5.493374847530621
