0, 1, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/rgb/rgb0002.png', 5.563478640491232
1, 2, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/rgb/rgb0003.png', 5.54458144952962
2, 3, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/rgb/rgb0004.png', 5.754581772491347
3, 4, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/rgb/rgb0005.png', 5.621326097645326
4, 5, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/rgb/rgb0006.png', 5.276376726206183
5, 6, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/rgb/rgb0007.png', 5.333362295592201
6, 7, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/rgb/rgb0008.png', 5.253308182848707
7, 8, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/rgb/rgb0009.png', 4.982406636270776
8, 9, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/rgb/rgb0010.png', 4.834404811485931
9, 10, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/rgb/rgb0011.png', 4.998999997618819
10, 11, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/rgb/rgb0012.png', 4.714437898402896
